realtime_start,realtime_end,date,value
2025-04-25,2025-04-25,2006-10-01,5.7
2025-04-25,2025-04-25,2006-11-01,26.9
2025-04-25,2025-04-25,2006-12-01,44.8
2025-04-25,2025-04-25,2007-01-01,-53.8
2025-04-25,2025-04-25,2007-02-01,2.3
2025-04-25,2025-04-25,2007-03-01,14.5
2025-04-25,2025-04-25,2007-04-01,-2.7
2025-04-25,2025-04-25,2007-05-01,5.2
2025-04-25,2025-04-25,2007-06-01,-3.7
2025-04-25,2025-04-25,2007-07-01,-4.0
2025-04-25,2025-04-25,2007-08-01,10.4
2025-04-25,2025-04-25,2007-09-01,-11.8
2025-04-25,2025-04-25,2007-10-01,7.2
2025-04-25,2025-04-25,2007-11-01,27.6
2025-04-25,2025-04-25,2007-12-01,41.5
2025-04-25,2025-04-25,2008-01-01,-55.2
2025-04-25,2025-04-25,2008-02-01,8.1
2025-04-25,2025-04-25,2008-03-01,10.3
2025-04-25,2025-04-25,2008-04-01,-5.2
2025-04-25,2025-04-25,2008-05-01,11.3
2025-04-25,2025-04-25,2008-06-01,-4.5
2025-04-25,2025-04-25,2008-07-01,-4.7
2025-04-25,2025-04-25,2008-08-01,8.5
2025-04-25,2025-04-25,2008-09-01,-15.6
2025-04-25,2025-04-25,2008-10-01,11.0
2025-04-25,2025-04-25,2008-11-01,26.1
2025-04-25,2025-04-25,2008-12-01,40.3
2025-04-25,2025-04-25,2009-01-01,-53.6
2025-04-25,2025-04-25,2009-02-01,1.7
2025-04-25,2025-04-25,2009-03-01,9.3
2025-04-25,2025-04-25,2009-04-01,3.7
2025-04-25,2025-04-25,2009-05-01,5.5
2025-04-25,2025-04-25,2009-06-01,-7.6
2025-04-25,2025-04-25,2009-07-01,-0.2
2025-04-25,2025-04-25,2009-08-01,8.2
2025-04-25,2025-04-25,2009-09-01,-12.0
2025-04-25,2025-04-25,2009-10-01,10.9
2025-04-25,2025-04-25,2009-11-01,22.0
2025-04-25,2025-04-25,2009-12-01,45.4
2025-04-25,2025-04-25,2010-01-01,-53.6
2025-04-25,2025-04-25,2010-02-01,4.1
