realtime_start,realtime_end,date,value
2025-04-10,2025-04-10,1924-11-01,.
2025-04-10,2025-04-10,1924-12-01,26.400
2025-04-10,2025-04-10,1925-01-01,.
2025-04-10,2025-04-10,1925-02-01,.
2025-04-10,2025-04-10,1925-03-01,.
2025-04-10,2025-04-10,1925-04-01,.
2025-04-10,2025-04-10,1925-05-01,.
2025-04-10,2025-04-10,1925-06-01,26.400
2025-04-10,2025-04-10,1925-07-01,.
2025-04-10,2025-04-10,1925-08-01,.
2025-04-10,2025-04-10,1925-09-01,.
2025-04-10,2025-04-10,1925-10-01,.
2025-04-10,2025-04-10,1925-11-01,.
2025-04-10,2025-04-10,1925-12-01,26.200
2025-04-10,2025-04-10,1926-01-01,.
2025-04-10,2025-04-10,1926-02-01,.
2025-04-10,2025-04-10,1926-03-01,.
2025-04-10,2025-04-10,1926-04-01,.
2025-04-10,2025-04-10,1926-05-01,.
2025-04-10,2025-04-10,1926-06-01,25.900
2025-04-10,2025-04-10,1926-07-01,.
2025-04-10,2025-04-10,1926-08-01,.
2025-04-10,2025-04-10,1926-09-01,.
2025-04-10,2025-04-10,1926-10-01,.
2025-04-10,2025-04-10,1926-11-01,.
2025-04-10,2025-04-10,1926-12-01,25.700
2025-04-10,2025-04-10,1927-01-01,.
2025-04-10,2025-04-10,1927-02-01,.
2025-04-10,2025-04-10,1927-03-01,.
2025-04-10,2025-04-10,1927-04-01,.
2025-04-10,2025-04-10,1927-05-01,.
2025-04-10,2025-04-10,1927-06-01,25.400
2025-04-10,2025-04-10,1927-07-01,.
2025-04-10,2025-04-10,1927-08-01,.
2025-04-10,2025-04-10,1927-09-01,.
2025-04-10,2025-04-10,1927-10-01,.
2025-04-10,2025-04-10,1927-11-01,.
2025-04-10,2025-04-10,1927-12-01,25.100
2025-04-10,2025-04-10,1928-01-01,.
2025-04-10,2025-04-10,1928-02-01,.
2025-04-10,2025-04-10,1928-03-01,.
2025-04-10,2025-04-10,1928-04-01,.
2025-04-10,2025-04-10,1928-05-01,.
2025-04-10,2025-04-10,1928-06-01,25.000
2025-04-10,2025-04-10,1928-07-01,.
2025-04-10,2025-04-10,1928-08-01,.
2025-04-10,2025-04-10,1928-09-01,.
2025-04-10,2025-04-10,1928-10-01,.
2025-04-10,2025-04-10,1928-11-01,.
2025-04-10,2025-04-10,1928-12-01,24.900
2025-04-10,2025-04-10,1929-01-01,.
2025-04-10,2025-04-10,1929-02-01,.
2025-04-10,2025-04-10,1929-03-01,.
2025-04-10,2025-04-10,1929-04-01,.
2025-04-10,2025-04-10,1929-05-01,.
2025-04-10,2025-04-10,1929-06-01,24.700
2025-04-10,2025-04-10,1929-07-01,.
2025-04-10,2025-04-10,1929-08-01,.
2025-04-10,2025-04-10,1929-09-01,.
2025-04-10,2025-04-10,1929-10-01,.
2025-04-10,2025-04-10,1929-11-01,.
2025-04-10,2025-04-10,1929-12-01,24.600
2025-04-10,2025-04-10,1930-01-01,.
2025-04-10,2025-04-10,1930-02-01,.
2025-04-10,2025-04-10,1930-03-01,.
2025-04-10,2025-04-10,1930-04-01,.
2025-04-10,2025-04-10,1930-05-01,.
2025-04-10,2025-04-10,1930-06-01,24.500
2025-04-10,2025-04-10,1930-07-01,.
2025-04-10,2025-04-10,1930-08-01,.
2025-04-10,2025-04-10,1930-09-01,.
2025-04-10,2025-04-10,1930-10-01,.
2025-04-10,2025-04-10,1930-11-01,.
2025-04-10,2025-04-10,1930-12-01,23.500
2025-04-10,2025-04-10,1931-01-01,.
2025-04-10,2025-04-10,1931-02-01,.
2025-04-10,2025-04-10,1931-03-01,.
2025-04-10,2025-04-10,1931-04-01,.
2025-04-10,2025-04-10,1931-05-01,.
2025-04-10,2025-04-10,1931-06-01,22.200
2025-04-10,2025-04-10,1931-07-01,.
2025-04-10,2025-04-10,1931-08-01,.
2025-04-10,2025-04-10,1931-09-01,.
2025-04-10,2025-04-10,1931-10-01,.
2025-04-10,2025-04-10,1931-11-01,.
2025-04-10,2025-04-10,1931-12-01,20.600
2025-04-10,2025-04-10,1932-01-01,.
2025-04-10,2025-04-10,1932-02-01,.
2025-04-10,2025-04-10,1932-03-01,.
2025-04-10,2025-04-10,1932-04-01,.
2025-04-10,2025-04-10,1932-05-01,.
2025-04-10,2025-04-10,1932-06-01,19.500
2025-04-10,2025-04-10,1932-07-01,.
2025-04-10,2025-04-10,1932-08-01,.
2025-04-10,2025-04-10,1932-09-01,.
2025-04-10,2025-04-10,1932-10-01,.
2025-04-10,2025-04-10,1932-11-01,.
2025-04-10,2025-04-10,1932-12-01,18.600
2025-04-10,2025-04-10,1933-01-01,.
2025-04-10,2025-04-10,1933-02-01,.
2025-04-10,2025-04-10,1933-03-01,.
2025-04-10,2025-04-10,1933-04-01,.
2025-04-10,2025-04-10,1933-05-01,.
2025-04-10,2025-04-10,1933-06-01,18.200
2025-04-10,2025-04-10,1933-07-01,.
2025-04-10,2025-04-10,1933-08-01,.
2025-04-10,2025-04-10,1933-09-01,.
2025-04-10,2025-04-10,1933-10-01,.
2025-04-10,2025-04-10,1933-11-01,.
2025-04-10,2025-04-10,1933-12-01,20.200
2025-04-10,2025-04-10,1934-01-01,.
2025-04-10,2025-04-10,1934-02-01,.
2025-04-10,2025-04-10,1934-03-01,.
2025-04-10,2025-04-10,1934-04-01,.
2025-04-10,2025-04-10,1934-05-01,.
2025-04-10,2025-04-10,1934-06-01,20.700
2025-04-10,2025-04-10,1934-07-01,.
2025-04-10,2025-04-10,1934-08-01,.
2025-04-10,2025-04-10,1934-09-01,.
2025-04-10,2025-04-10,1934-10-01,.
2025-04-10,2025-04-10,1934-11-01,20.700
2025-04-10,2025-04-10,1934-12-01,.
2025-04-10,2025-04-10,1935-01-01,.
2025-04-10,2025-04-10,1935-02-01,.
2025-04-10,2025-04-10,1935-03-01,20.800
2025-04-10,2025-04-10,1935-04-01,.
2025-04-10,2025-04-10,1935-05-01,.
2025-04-10,2025-04-10,1935-06-01,.
2025-04-10,2025-04-10,1935-07-01,20.700
2025-04-10,2025-04-10,1935-08-01,.
2025-04-10,2025-04-10,1935-09-01,.
2025-04-10,2025-04-10,1935-10-01,20.900
2025-04-10,2025-04-10,1935-11-01,.
2025-04-10,2025-04-10,1935-12-01,.
2025-04-10,2025-04-10,1936-01-01,21.000
2025-04-10,2025-04-10,1936-02-01,.
2025-04-10,2025-04-10,1936-03-01,.
2025-04-10,2025-04-10,1936-04-01,21.000
2025-04-10,2025-04-10,1936-05-01,.
2025-04-10,2025-04-10,1936-06-01,.
2025-04-10,2025-04-10,1936-07-01,20.900
2025-04-10,2025-04-10,1936-08-01,.
2025-04-10,2025-04-10,1936-09-01,21.000
2025-04-10,2025-04-10,1936-10-01,.
2025-04-10,2025-04-10,1936-11-01,.
2025-04-10,2025-04-10,1936-12-01,21.300
2025-04-10,2025-04-10,1937-01-01,.
2025-04-10,2025-04-10,1937-02-01,.
2025-04-10,2025-04-10,1937-03-01,21.700
2025-04-10,2025-04-10,1937-04-01,.
2025-04-10,2025-04-10,1937-05-01,.
2025-04-10,2025-04-10,1937-06-01,22.000
2025-04-10,2025-04-10,1937-07-01,.
2025-04-10,2025-04-10,1937-08-01,.
2025-04-10,2025-04-10,1937-09-01,22.500
2025-04-10,2025-04-10,1937-10-01,.
2025-04-10,2025-04-10,1937-11-01,.
2025-04-10,2025-04-10,1937-12-01,22.500
2025-04-10,2025-04-10,1938-01-01,.
2025-04-10,2025-04-10,1938-02-01,.
2025-04-10,2025-04-10,1938-03-01,22.100
2025-04-10,2025-04-10,1938-04-01,.
2025-04-10,2025-04-10,1938-05-01,.
2025-04-10,2025-04-10,1938-06-01,21.900
2025-04-10,2025-04-10,1938-07-01,.
2025-04-10,2025-04-10,1938-08-01,.
2025-04-10,2025-04-10,1938-09-01,21.700
2025-04-10,2025-04-10,1938-10-01,.
2025-04-10,2025-04-10,1938-11-01,.
2025-04-10,2025-04-10,1938-12-01,21.700
2025-04-10,2025-04-10,1939-01-01,.
2025-04-10,2025-04-10,1939-02-01,.
2025-04-10,2025-04-10,1939-03-01,21.600
2025-04-10,2025-04-10,1939-04-01,.
2025-04-10,2025-04-10,1939-05-01,.
2025-04-10,2025-04-10,1939-06-01,21.600
2025-04-10,2025-04-10,1939-07-01,.
2025-04-10,2025-04-10,1939-08-01,.
2025-04-10,2025-04-10,1939-09-01,21.600
2025-04-10,2025-04-10,1939-10-01,.
2025-04-10,2025-04-10,1939-11-01,.
2025-04-10,2025-04-10,1939-12-01,21.700
2025-04-10,2025-04-10,1940-01-01,.
2025-04-10,2025-04-10,1940-02-01,.
2025-04-10,2025-04-10,1940-03-01,21.900
2025-04-10,2025-04-10,1940-04-01,.
2025-04-10,2025-04-10,1940-05-01,.
2025-04-10,2025-04-10,1940-06-01,21.800
2025-04-10,2025-04-10,1940-07-01,.
2025-04-10,2025-04-10,1940-08-01,.
2025-04-10,2025-04-10,1940-09-01,21.800
2025-04-10,2025-04-10,1940-10-01,21.800
2025-04-10,2025-04-10,1940-11-01,21.800
2025-04-10,2025-04-10,1940-12-01,21.800
2025-04-10,2025-04-10,1941-01-01,21.600
2025-04-10,2025-04-10,1941-02-01,21.600
2025-04-10,2025-04-10,1941-03-01,21.900
2025-04-10,2025-04-10,1941-04-01,22.000
2025-04-10,2025-04-10,1941-05-01,22.000
2025-04-10,2025-04-10,1941-06-01,22.200
2025-04-10,2025-04-10,1941-07-01,22.500
2025-04-10,2025-04-10,1941-08-01,22.900
2025-04-10,2025-04-10,1941-09-01,23.800
2025-04-10,2025-04-10,1941-10-01,24.200
2025-04-10,2025-04-10,1941-11-01,24.500
2025-04-10,2025-04-10,1941-12-01,24.600
2025-04-10,2025-04-10,1942-01-01,24.900
2025-04-10,2025-04-10,1942-02-01,25.500
2025-04-10,2025-04-10,1942-03-01,26.600
2025-04-10,2025-04-10,1942-04-01,27.200
2025-04-10,2025-04-10,1942-05-01,27.100
2025-04-10,2025-04-10,1942-06-01,26.900
2025-04-10,2025-04-10,1942-07-01,26.900
2025-04-10,2025-04-10,1942-08-01,26.900
2025-04-10,2025-04-10,1942-09-01,27.100
2025-04-10,2025-04-10,1942-10-01,27.100
2025-04-10,2025-04-10,1942-11-01,27.100
2025-04-10,2025-04-10,1942-12-01,27.100
2025-04-10,2025-04-10,1943-01-01,27.100
2025-04-10,2025-04-10,1943-02-01,27.100
2025-04-10,2025-04-10,1943-03-01,27.400
2025-04-10,2025-04-10,1943-04-01,27.500
2025-04-10,2025-04-10,1943-05-01,27.500
2025-04-10,2025-04-10,1943-06-01,27.500
2025-04-10,2025-04-10,1943-07-01,27.700
2025-04-10,2025-04-10,1943-08-01,27.800
2025-04-10,2025-04-10,1943-09-01,28.400
2025-04-10,2025-04-10,1943-10-01,28.600
2025-04-10,2025-04-10,1943-11-01,28.700
2025-04-10,2025-04-10,1943-12-01,29.000
2025-04-10,2025-04-10,1944-01-01,29.000
2025-04-10,2025-04-10,1944-02-01,29.100
2025-04-10,2025-04-10,1944-03-01,29.400
2025-04-10,2025-04-10,1944-04-01,29.500
2025-04-10,2025-04-10,1944-05-01,29.500
2025-04-10,2025-04-10,1944-06-01,29.700
2025-04-10,2025-04-10,1944-07-01,29.700
2025-04-10,2025-04-10,1944-08-01,30.000
2025-04-10,2025-04-10,1944-09-01,30.300
2025-04-10,2025-04-10,1944-10-01,30.400
2025-04-10,2025-04-10,1944-11-01,30.500
2025-04-10,2025-04-10,1944-12-01,30.600
2025-04-10,2025-04-10,1945-01-01,30.700
2025-04-10,2025-04-10,1945-02-01,30.800
2025-04-10,2025-04-10,1945-03-01,30.800
2025-04-10,2025-04-10,1945-04-01,30.900
2025-04-10,2025-04-10,1945-05-01,31.000
2025-04-10,2025-04-10,1945-06-01,31.200
2025-04-10,2025-04-10,1945-07-01,31.400
2025-04-10,2025-04-10,1945-08-01,31.500
2025-04-10,2025-04-10,1945-09-01,31.900
2025-04-10,2025-04-10,1945-10-01,31.900
2025-04-10,2025-04-10,1945-11-01,31.900
2025-04-10,2025-04-10,1945-12-01,32.100
2025-04-10,2025-04-10,1946-01-01,32.200
2025-04-10,2025-04-10,1946-02-01,32.300
2025-04-10,2025-04-10,1946-03-01,32.900
2025-04-10,2025-04-10,1946-04-01,33.200
2025-04-10,2025-04-10,1946-05-01,33.400
2025-04-10,2025-04-10,1946-06-01,33.700
2025-04-10,2025-04-10,1946-07-01,34.100
2025-04-10,2025-04-10,1946-08-01,34.600
2025-04-10,2025-04-10,1946-09-01,35.600
2025-04-10,2025-04-10,1946-10-01,36.100
2025-04-10,2025-04-10,1946-11-01,36.700
2025-04-10,2025-04-10,1946-12-01,37.900
2025-04-10,2025-04-10,1947-01-01,38.400
2025-04-10,2025-04-10,1947-02-01,38.900
2025-04-10,2025-04-10,1947-03-01,39.500
2025-04-10,2025-04-10,1947-04-01,39.700
2025-04-10,2025-04-10,1947-05-01,39.700
2025-04-10,2025-04-10,1947-06-01,39.900
2025-04-10,2025-04-10,1947-07-01,39.600
2025-04-10,2025-04-10,1947-08-01,39.900
2025-04-10,2025-04-10,1947-09-01,40.300
2025-04-10,2025-04-10,1947-10-01,40.600
2025-04-10,2025-04-10,1947-11-01,40.800
2025-04-10,2025-04-10,1947-12-01,41.000
2025-04-10,2025-04-10,1948-01-01,41.300
2025-04-10,2025-04-10,1948-02-01,41.900
2025-04-10,2025-04-10,1948-03-01,42.100
2025-04-10,2025-04-10,1948-04-01,42.200
2025-04-10,2025-04-10,1948-05-01,42.400
2025-04-10,2025-04-10,1948-06-01,42.300
2025-04-10,2025-04-10,1948-07-01,42.300
2025-04-10,2025-04-10,1948-08-01,42.900
2025-04-10,2025-04-10,1948-09-01,43.100
2025-04-10,2025-04-10,1948-10-01,43.300
2025-04-10,2025-04-10,1948-11-01,43.200
